Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2021-03-04;20:25:07;-28.41;-176.87;10; ;mb;6.1;KERMADEC ISLANDS REGION;2021-03-05 07:43;955136;
2021-03-04;19:28:35;-29.54;-177.28;25;f;Mw;8.1;KERMADEC ISLANDS, NEW ZEALAND;2021-03-04 21:25;955088;
2021-03-04;17:41:25;-29.60;-177.80;49; ;Mw;7.4;KERMADEC ISLANDS, NEW ZEALAND;2021-03-04 18:30;955024;
2021-03-04;16:53:10;-14.38;167.38;169; ;Mw;6.1;VANUATU;2021-03-04 17:27;955001;
2021-03-04;13:27:35;-37.52;179.44;16; ;Mw;7.3;OFF E. COAST OF N. ISLAND, N.Z.;2021-03-04 15:14;954885;
2021-03-03;10:16:08;39.76;22.21;8;f;Mw;6.3;GREECE;2021-03-09 09:58;954327;
2021-02-18;15:30:51;-14.97;-176.58;10; ;Mw;6.1;FIJI REGION;2021-02-18 15:54;950503;
2021-02-18;06:37:31;-18.90;168.02;10;f;Mw;6.2;VANUATU;2021-02-18 07:03;950387;
2021-02-17;22:49:39;-23.16;171.85;20;f;Mw;6.1;SOUTHEAST OF LOYALTY ISLANDS;2021-02-18 07:59;950284;
2021-02-16;00:49:25;-17.72;167.60;10;f;Mw;6.2;VANUATU;2021-02-16 07:48;949593;
